record_id,source,doi,pmid,year,venue,title,reviewer_decision,reviewer_reason_code,reviewer_notes,leakage_note,author_protocol_claim_seen,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0650,WoS,10.3389/fnhum.2019.00054,,2019,FRONTIERS IN HUMAN NEUROSCIENCE,Linking Emotional Reactivity Between Laboratory Tasks and Immersive Environments Using Behavior,unclear-needs-fulltext,unclear-needs-fulltext,emotional reactivity (behavioral); EEG unclear,,,,,
SCR-0651,WoS/Scopus,10.3389/fnhum.2020.605246,,2021,FRONTIERS IN HUMAN NEUROSCIENCE,Two-Level Domain Adaptation Neural Network for EEG-Based Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),two-level DA (DANN + TPT + MMD); source-target; cross-subject,cross-subject; UDA,no,,
SCR-0652,WoS/Scopus,10.3389/fnhum.2021.621493,,2021,FRONTIERS IN HUMAN NEUROSCIENCE,MindLink-Eumpy: An Open-Source Python Toolbox for Multimodal Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),MindLink-Eumpy toolbox; SD (SVM) + SI (LSTM); DEAP; multimodal EEG+facial,subject-dependent + subject-independent,no,,open-source toolbox paper; reports SD/SI recognition
SCR-0653,WoS,10.3389/fnhum.2022.1051463,,2022,FRONTIERS IN HUMAN NEUROSCIENCE,Decoding the neural signatures of valence and arousal from portable EEG headset,include-candidate,include,EEG cross-subject emotion (journal),portable EEG; LOSO + 10-fold CV (~66%; both reported); RF regression 80:20 shuffled,subject-independent LOSO + 10-fold,no,,LOSO and 10-fold both ~66% (realistic; transparent)
SCR-0654,WoS/Scopus,10.3389/fnhum.2022.921346,,2022,FRONTIERS IN HUMAN NEUROSCIENCE,Multi-source joint domain adaptation for cross-subject and cross-session emotion recognition fr,include-candidate,include,EEG cross-subject emotion (journal),multi-source joint DA; unlabeled target; cross-subject + cross-session; SEED,cross-subject/cross-session; UDA,no,,
SCR-0655,WoS/Scopus,10.3389/fnhum.2022.936393,,2022,FRONTIERS IN HUMAN NEUROSCIENCE,A Spherical Phase Space Partitioning Based Symbolic Time Series Analysis (SPSP-STSA) for Emotio,include-candidate,include,EEG cross-subject emotion (journal),spherical phase-space symbolic TSA; LOSO; subject-independent,subject-independent; LOSO,no,,
SCR-0656,WoS/Scopus,10.3389/fnhum.2023.1132254,,2023,FRONTIERS IN HUMAN NEUROSCIENCE,SSTM-IS: simplified STM method based on instance selection for real-time EEG emotion recognitio,include-candidate,include,EEG cross-subject emotion (journal),simplified STM + instance selection; small labeled target; cross-subject,cross-subject; transfer (few target labels),no,,
SCR-0657,WoS/Scopus,10.3389/fnhum.2023.1169949,,2023,FRONTIERS IN HUMAN NEUROSCIENCE,STGATE: Spatial-temporal graph attention network with a transformer encoder for EEG-based emoti,include-candidate,include,EEG cross-subject emotion (journal),spatial-temporal graph attention + transformer; LOSO; SEED/DREAMER; transductive adjacency,cross-subject; LOSO,no,,
SCR-0658,WoS/Scopus,10.3389/fnhum.2023.1280241,,2023,FRONTIERS IN HUMAN NEUROSCIENCE,Hybrid transfer learning strategy for cross-subject EEG emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),hybrid TL (DFF-Net); DA + few-shot fine-tune target; cross-subject,cross-subject; DA + fine-tune,no,,
SCR-0659,WoS,10.3389/fnhum.2024.1421922,,2024,FRONTIERS IN HUMAN NEUROSCIENCE,Harnessing Few-Shot Learning for EEG signal classification: a survey of state-of-the-art techni,exclude,non-primary-study,survey (few-shot),,,,,
SCR-0660,WoS/Scopus,10.3389/fnhum.2024.1464431,,2024,FRONTIERS IN HUMAN NEUROSCIENCE,Multi-source domain adaptation for EEG emotion recognition based on inter-domain sample hybridi,include-candidate,include,EEG cross-subject emotion (journal),multi-source DA + inter-domain sample hybridization; unlabeled target; cross-subject/session,cross-subject/cross-session; UDA,no,,
SCR-0661,WoS/Scopus,10.3389/fnhum.2024.1471634,,2024,FRONTIERS IN HUMAN NEUROSCIENCE,Domain adaptation spatial feature perception neural network for cross-subject EEG emotion recog,include-candidate,include,EEG cross-subject emotion (journal),DA spatial feature perception; source-target + fine-tune; cross-subject,cross-subject; DA/fine-tune,no,,
SCR-0662,WoS/Scopus,10.3389/fnhum.2025.1445763,,2025,FRONTIERS IN HUMAN NEUROSCIENCE,Cross-subject affective analysis based on dynamic brain functional networks,include-candidate,include,EEG cross-subject emotion (journal),dynamic brain functional networks; SD (trial-indep) + SI (LOSO) + subject-and-trial-indep; DEAP,subject-independent (LOSO) + trial-independent,no,,leakage-aware (trial-independent)
SCR-0663,WoS/Scopus,10.3389/fnhum.2026.1723907,,2026,FRONTIERS IN HUMAN NEUROSCIENCE,DSP-MCF: dual stream pre-training and multi-view consistency fine-tuning for cross-subject EEG ,include-candidate,include,EEG cross-subject emotion (journal),dual stream pretrain + multi-view consistency finetune; domain generalization (target concealed); cross-subject,cross-subject; DG (no target access),no,,clean DG
SCR-0664,WoS/Scopus,10.3389/fnins.2018.00162,,2018,FRONTIERS IN NEUROSCIENCE,Exploring EEG Features in Cross-Subject Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),LOSO cross-subject (disjoint); feature selection on training set only (leakage-aware); DEAP 59% / SEED 83%,cross-subject; LOSO,no,,full text via Frontiers; feature selection only on training set
SCR-0665,WoS/Scopus,10.3389/fnins.2020.00087,,2020,FRONTIERS IN NEUROSCIENCE,Latent Factor Decoding of Multi-Channel EEG for Emotion Recognition Through Autoencoder-Like Ne,include-candidate,include,EEG cross-subject emotion (journal),latent factor autoencoder decoding; leave-one-subject-out; DEAP,subject-independent; LOSO,no,,
SCR-0666,WoS/Scopus,10.3389/fnins.2021.611653,,2021,FRONTIERS IN NEUROSCIENCE,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,include-candidate,include,EEG cross-subject emotion (journal),self-organized GNN; LOSO; SEED; cross-subject,cross-subject; LOSO,no,,
SCR-0667,WoS/Scopus,10.3389/fnins.2021.626277,,2021,FRONTIERS IN NEUROSCIENCE,Cross-Subject EEG-Based Emotion Recognition Through Neural Networks With Stratified Normalizati,include-candidate,include,EEG cross-subject emotion (journal),stratified (per-subject) normalization; LOSO; DEAP/SEED (PDF match uncertain),subject-independent; stratified normalization,unclear,preprocessing-or-selection-unclear,matched PDF text mismatched (shows a CapsNet paper); stratified per-subject normalization may use test-subject stats (transductive normalization) - verify
SCR-0668,WoS/Scopus,10.3389/fnins.2021.677106,,2021,FRONTIERS IN NEUROSCIENCE,Multi-Source Co-adaptation for EEG-Based Emotion Recognition by Mining Correlation Information,include-candidate,include,EEG cross-subject emotion (journal),multi-source co-adaptation (correlation mining); source-target; unlabeled target; cross-subject,cross-subject; UDA,no,,
SCR-0669,WoS,10.3389/fnins.2021.719869,,2021,FRONTIERS IN NEUROSCIENCE,Relaxation Degree Analysis Using Frontal Electroencephalogram Under Virtual Reality Relaxation ,unclear-needs-fulltext,unclear-needs-fulltext,relaxation degree; borderline affective,,,,,
SCR-0670,WoS/Scopus,10.3389/fnins.2021.778488,,2021,FRONTIERS IN NEUROSCIENCE,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Em,include-candidate,include,EEG cross-subject emotion (journal),MS-MDA multisource UDA; LOSO cross-subject + leave-one-session-out; unlabeled target; SEED cross-subj 89.63% / SEED-IV 59.34%,cross-subject/cross-session; UDA,no,,full text via Frontiers
SCR-0671,WoS,10.3389/fnins.2022.1044631,,2022,FRONTIERS IN NEUROSCIENCE,Dual attentive fusion for EEG-based brain-computer interfaces,unclear-needs-fulltext,unclear-needs-fulltext,dual attentive EEG BCIs; construct unclear,,,,,
SCR-0672,Scopus,10.3389/fnins.2022.801666,,2022,Frontiers in Neuroscience,Learning New Vocabulary Implicitly During Sleep Transfers With Cross-Modal Generalization Into ,exclude,off-topic,off-topic: sleep vocabulary learning,,,,,
SCR-0673,WoS/Scopus,10.3389/fnins.2022.850906,,2022,FRONTIERS IN NEUROSCIENCE,Robust Latent Multi-Source Adaptation for Encephalogram-Based Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),robust latent multi-source adaptation; shared subspaces; cross-subject,cross-subject; DA,no,,
SCR-0674,WoS/Scopus,10.3389/fnins.2022.865201,,2022,FRONTIERS IN NEUROSCIENCE,Not All Electrode Channels Are Needed: Knowledge Transfer From Only Stimulated Brain Regions fo,include-candidate,include,EEG cross-subject emotion (journal),knowledge transfer (STM) from stimulated regions; source-target; channel selection; cross-subject,cross-subject; transfer,no,,
SCR-0675,WoS/Scopus,10.3389/fnins.2022.878146,,2022,FRONTIERS IN NEUROSCIENCE,Electroencephalograph-Based Emotion Recognition Using Brain Connectivity Feature and Domain Ada,include-candidate,include,EEG cross-subject emotion (journal),brain connectivity + DA-RCNN; SD (95.15%) + SI (88.28%) valence binary; DEAP,subject-dependent + subject-independent; DA,unclear,subject-mixed-kfold,DEAP SI 88.28% (binary) high; verify SI uses subject-disjoint split (text ambiguous re trials vs subjects)
SCR-0676,WoS/Scopus,10.3389/fnins.2023.1213099,,2023,FRONTIERS IN NEUROSCIENCE,Local domain generalization with low-rank constraint for EEG-based emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),local domain generalization + low-rank; cross-subject within-dataset + cross-dataset within-session; 5-fold; DEAP/SEED,cross-subject; DG,no,,
SCR-0677,WoS/Scopus,10.3389/fnins.2023.1247082,,2023,FRONTIERS IN NEUROSCIENCE,Possibilistic distribution distance metric: a robust domain adaptation learning method,include-candidate,include,EEG cross-subject emotion (journal),possibilistic distribution distance DA; label propagation + MMD; source-target,cross-subject; DA,no,,
SCR-0678,WoS,10.3389/fnins.2023.1288580,,2023,FRONTIERS IN NEUROSCIENCE,Cross-subject emotion EEG signal recognition based on source microstate analysis,include-candidate,include,EEG cross-subject emotion (journal),source microstate + style transfer mapping; source(train)-target(test); cross-subject,cross-subject; transfer,no,,
SCR-0679,WoS/Scopus,10.3389/fnins.2024.1293962,,2024,FRONTIERS IN NEUROSCIENCE,MISNet: multi-source information-shared EEG emotion recognition network with two-stream structu,include-candidate,include,EEG cross-subject emotion (journal),MISNet multi-source info-shared UDA; unlabeled target; subject-independent,subject-independent; UDA,no,,
SCR-0680,WoS/Scopus,10.3389/fnins.2024.1458815,,2024,FRONTIERS IN NEUROSCIENCE,Discriminative possibilistic clustering promoting cross-domain emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),discriminative possibilistic clustering DA; MMD; source-target,cross-subject; DA,no,,
SCR-0681,WoS,10.3389/fnins.2025.1512799,,2025,FRONTIERS IN NEUROSCIENCE,Emotion recognition based on multimodal physiological electrical signals,include-candidate,include,EEG cross-subject emotion (journal),multimodal physiological; cross-validation (subject split unclear),not clearly stated,unclear,preprocessing-or-selection-unclear,protocol vague; subject-level separation not evidenced in extracted text
SCR-0682,WoS/Scopus,10.3389/fnins.2025.1592070,,2025,FRONTIERS IN NEUROSCIENCE,Domain adaptive deep possibilistic clustering for EEG-based emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),domain adaptive deep possibilistic clustering; pseudo-labels + memory bank; unlabeled target; cross-subject/session,cross-subject/cross-session; UDA,no,,
SCR-0683,WoS/Scopus,10.3389/fnins.2025.1704476,,2025,FRONTIERS IN NEUROSCIENCE,RS-STGCN: Regional-Synergy Spatio-Temporal Graph Convolutional Network for emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),regional-synergy STGCN; strict LOSO; SEED/SEED-IV; only compares same-protocol baselines,subject-independent; LOSO (strict),no,,leakage-aware (strict LOSO)
SCR-0684,WoS/Scopus,10.3389/fnins.2026.1665145,,2026,FRONTIERS IN NEUROSCIENCE,MSGM: a multi-scale spatiotemporal graph Mamba for EEG emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),multi-scale spatiotemporal graph Mamba; rigorous k-fold/LOSO (prevents leakage); SEED/DEAP/FACED,subject-independent; LOSO,no,,leakage-aware (15-fold LOSO)
SCR-0685,WoS,10.3389/fnins.2026.1835552,,2026,FRONTIERS IN NEUROSCIENCE,Emotion recognition based on the temporal patterns of electroencephalogram signals and electrod,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0686,WoS/Scopus,10.3389/fpsyg.2021.721266,,2021,FRONTIERS IN PSYCHOLOGY,A Domain Adaptation Sparse Representation Classifier for Cross-Domain Electroencephalogram-Base,include-candidate,include,EEG cross-subject emotion (journal),DA sparse representation classifier; affine mapping; unlabeled target; cross-subject/session,cross-subject/cross-session; DA,no,,
